ts,asset,funding_hourly_pct,funding_apy_pct,oi_usd,side,breakeven_days,net_apy_30d_pct,actionable
2026-06-25T06:30:37.635051+00:00,ATOM,-0.00843,-73.86,2978100,long_perp+spot_short,0.99,71.42,1
2026-06-25T06:30:37.635051+00:00,DYDX,0.00125,10.95,7707340,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,SOL,-0.00143,-12.52,349882876,long_perp+spot_short,5.83,10.08,0
2026-06-25T06:30:37.635051+00:00,AVAX,-0.0008,-7.04,17799775,long_perp+spot_short,10.38,4.6,0
2026-06-25T06:30:37.635051+00:00,BNB,-0.00248,-21.74,24363181,long_perp+spot_short,3.36,19.3,1
2026-06-25T06:30:37.635051+00:00,OP,0.00125,10.95,3232577,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,LTC,-0.00138,-12.13,11257926,long_perp+spot_short,6.02,9.69,0
2026-06-25T06:30:37.635051+00:00,ARB,0.00125,10.95,4007926,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,DOGE,0.00077,6.77,19197893,short_perp+spot_long,10.79,4.33,0
2026-06-25T06:30:37.635051+00:00,INJ,-0.00036,-3.13,2971807,long_perp+spot_short,23.29,0.7,0
2026-06-25T06:30:37.635051+00:00,SUI,0.00125,10.95,29080706,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,kPEPE,0.00125,10.95,12269390,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,CRV,-3e-05,-0.26,5172810,long_perp+spot_short,276.85,-2.17,0
2026-06-25T06:30:37.635051+00:00,LDO,0.00038,3.29,4438588,short_perp+spot_long,22.19,0.86,0
2026-06-25T06:30:37.635051+00:00,LINK,0.00125,10.95,31820014,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,CFX,0.00125,10.95,3127179,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,XRP,-0.0017,-14.92,119210016,long_perp+spot_short,4.89,12.48,0
2026-06-25T06:30:37.635051+00:00,BCH,0.00125,10.95,11212489,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,APT,-1e-05,-0.08,4257430,long_perp+spot_short,895.09,-2.35,0
2026-06-25T06:30:37.635051+00:00,AAVE,-0.00113,-9.94,57666348,long_perp+spot_short,7.35,7.5,0
2026-06-25T06:30:37.635051+00:00,WLD,0.00125,10.95,48159849,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,TRX,0.00125,10.95,15624890,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,kSHIB,-0.00888,-77.81,1671303,long_perp+spot_short,0.94,75.38,1
2026-06-25T06:30:37.635051+00:00,UNI,0.00061,5.36,9533891,short_perp+spot_long,13.61,2.93,0
2026-06-25T06:30:37.635051+00:00,SEI,0.00125,10.95,2281137,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,RUNE,-0.00261,-22.88,1450962,long_perp+spot_short,3.19,20.44,1
2026-06-25T06:30:37.635051+00:00,ZRO,0.00125,10.95,24721814,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,DOT,0.00104,9.11,4605750,short_perp+spot_long,8.01,6.68,0
2026-06-25T06:30:37.635051+00:00,TIA,0.00125,10.95,1804756,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,ADA,-0.00344,-30.16,26274098,long_perp+spot_short,2.42,27.73,1
2026-06-25T06:30:37.635051+00:00,PENDLE,0.00125,10.95,5684000,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,FET,0.00125,10.95,6944281,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,NEAR,0.00125,10.95,66425801,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,FIL,0.00125,10.95,2272091,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,IMX,0.00125,10.95,2112122,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,kBONK,0.00125,10.95,4949231,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,JUP,0.00125,10.95,8959195,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,JTO,0.00125,10.95,10381451,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,WIF,0.00125,10.95,2166253,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,ENS,0.00125,10.95,1286678,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MANTA,0.00125,10.95,2731230,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,ONDO,0.00125,10.95,6661674,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,W,0.00125,10.95,1223041,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,STRK,-0.00427,-37.4,2478222,long_perp+spot_short,1.95,34.97,1
2026-06-25T06:30:37.635051+00:00,TAO,0.00125,10.95,21056740,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,AR,0.00125,10.95,1189369,short_perp+spot_long,6.67,8.52,0
